4,CASH,13.97,2024-03-20T19:19:22.333239
1,CARD,3.45,2024-03-20T19:19:22.333239
3,CASH,120.3,2024-03-20T19:19:22.333239
8,CASH,45.6,2024-03-20T19:19:22.333239
5,CARD,42.0,2024-03-20T19:19:22.333239
3,CARD,66.0,2024-03-20T19:19:22.333239
3,CARD,45.0,2024-03-20T19:19:22.333239
6,CASH,43.0,2024-03-20T19:19:22.333239
1,CARD,12.5,2024-03-20T19:19:22.333239
5,CASH,42.0,2024-03-20T19:19:22.333239
1,CARD,74.3,2024-03-20T19:19:22.333239
1,CASH,13.0,2024-03-20T19:19:22.333239
2,CASH,0.0,2024-03-20T19:19:22.333239
1,CARD,31.490000000000002,2024-03-20T19:19:22.333239
2,CARD,11.5,2024-03-20T19:19:22.333239
1,CASH,13.0,2024-03-20T19:19:22.333239
1,CARD,0.0,2024-03-20T19:19:22.333239
1,CASH,36.0,2024-03-20T19:19:22.333239
2,CASH,12.0,2024-03-20T19:19:22.333239
1,CASH,0.0,2024-03-20T19:19:22.333239
1,CARD,7.49,2024-03-20T19:19:22.333239
1,CARD,13.0,2024-03-20T19:19:22.333239
1,CASH,11.5,2024-03-20T19:19:22.333239
1,CARD,13.0,2024-03-20T19:19:22.333239
1,CARD,11.5,2024-03-20T19:19:22.333239
1,CARD,34.0,2024-03-21T23:00:19.098068
1,CASH,26.48,2024-03-21T23:03:17.548686900
2,CASH,39.0,2024-03-22T00:41:42.049882700
